Game,is_successful
fallout: new vegas,1
bioshock 2,1
mafia ii,1
tales of monkey island,1
the secret of monkey island: special edition,1
monkey island 2 special edition: lechuck's revenge,1
portal,1
mass effect 2,1
dragon age: origins - awakening,1
need for speed: world,1
need for speed: hot pursuit,1
amnesia: the dark descent,1
assassin's creed: brotherhood,1
left 4 dead,1
left 4 dead 2,1
assassin's creed ii,1
star wars: the force unleashed ii,1
loom,1
phantasmagoria,1
phantasmagoria 2: a puzzle of flesh,1
world of warcraft: cataclysm,1
half-life 2,1
starcraft ii: wings of liberty,1
half-life 2: episode two,1
the chronicles of riddick: escape from butcher bay,1
the sims 3,1
patrician iii: rise of the hanse,1
counter-strike: source,1
doom ii: hell on earth,1
the 7th guest,1
half-life 2: episode one,1
battlefield: bad company 2,1
quake iii arena,1
metal gear 2: solid snake,0
metal gear solid: peace walker,1
final fantasy,1
final fantasy ii,1
final fantasy xiii,1
final fantasy: 20th anniversary edition,1
final fantasy crystal chronicles: the crystal bearers,1
final fantasy: mystic quest,1
final fantasy ix,1
final fantasy viii,1
the chronicles of riddick: assault on dark athena,1
red dead redemption,1
rome: total war,1
napoleon: total war,1
"warhammer 40,000: dawn of war ii - chaos rising",1
silent hill: shattered memories,1
kane & lynch 2: dog days,1
castlevania: lords of shadow,1
heavy rain,1
metro 2033,1
dead rising 2,0
borderlands,1
god of war iii,1
batman: arkham asylum,1
fifa 11,1
fable iii,1
call of duty: black ops,1
god of war: ghost of sparta,0
spider-man: shattered dimensions,0
transformers: war for cybertron,1
medal of honor,1
prison break: the conspiracy,1
just cause 2,0
aliens vs. predator,1
tom clancy's splinter cell: conviction,0
singularity,1
eat lead: the return of matt hazard,0
age of wonders,1
age of wonders ii: the wizard's throne,1
age of wonders: shadow magic,1
arma 2: operation arrowhead,1
battlefield: bad company 2 vietnam,1
bejeweled 2,1
command & conquer 4: tiberian twilight,1
football manager 2011,0
grand theft auto iii,1
grand theft auto: san andreas,1
king's quest iv: the perils of rosella,1
interstate '76,1
heroes of newerth,1
lara croft and the guardian of light,1
mass effect 2: lair of the shadow broker,1
mass effect 2: overlord,1
outcast,0
painkiller,1
prince of persia: the sands of time,1
prince of persia: warrior within,1
rayman 2: the great escape,1
king's quest ii: romancing the throne,1
sam & max: beyond time and space,0
sid meier's civilization v,1
sid meier's pirates!,1
street fighter iv,0
super meat boy,1
team fortress 2,1
king's quest: quest for the crown,1
tomb raider,1
tony hawk's pro skater 2,1
world of goo,1
nhl 11,1
resident evil zero,0
tom clancy's h.a.w.x 2,0
halo: reach,1
silent hunter 5: battle of the atlantic,1
army of two: the 40th day,1
oddworld: abe's oddysee,1
oddworld: abe's exoddus,0
oddworld: munch's oddysee,1
oddworld: stranger's wrath,0
apb reloaded,1
worms: reloaded,0
hacker evolution,1
hacker evolution: untold,1
mirror's edge,1
alan wake,1
super mario galaxy 2,1
donkey kong country returns,1
metroid: other m,0
castlevania: rondo of blood,0
castlevania: the adventure rebirth,0
castlevania: harmony of despair,0
golden sun: dark dawn,1
lufia: curse of the sinistrals,1
tales of graces,1
kingdom hearts birth by sleep,1
kingdom hearts re:coded,1
darksiders,1
deadly premonition,1
plants vs. zombies,1
limbo,1
wild guns,0
enclave,1
ghost trick: phantom detective,1
noby noby boy,1
sniper: ghost warrior,1
f1 2010,1
r.u.s.e.,1
dead or alive paradise,0
professor layton and the unwound future,1
phoenix wright: ace attorney,1
phoenix wright: ace attorney − justice for all,1
phoenix wright: ace attorney − trials and tribulations,1
ace attorney investigations: miles edgeworth,1
fire emblem: new mystery of the emblem,1
perfect dark,1
sin & punishment: star successor,1
gradius ii: gofer no yabou,0
front mission 3,1
front mission evolved,0
epic mickey,1
pokémon soulsilver,1
pokémon black,1
pokémon white,1
trauma team,0
virtua fighter 2,0
pokémon heartgold,1
kasumi: stolen memory,0
gran turismo 5,1
goldeneye 007,1
james bond 007: blood stone,1
final fight 3,0
donpachi,0
dodonpachi resurrection,0
fruit ninja,0
warioware d.i.y.,0
mega man 4,1
mega man 9,1
mega man 10,1
mega man x3,1
sly cooper and the thievius raccoonus,1
sly 2: band of thieves,1
sly 3: honor among thieves,0
crazy taxi,1
