Game,Projected_rating
fallout: new vegas,83
bioshock 2,92
mafia ii,83
tales of monkey island,79
the secret of monkey island: special edition,79
monkey island 2 special edition: lechuck's revenge,70
portal,83
mass effect 2,92
dragon age: origins - awakening,80
need for speed: world,70
need for speed: hot pursuit,80
amnesia: the dark descent,83
assassin's creed: brotherhood,77
left 4 dead,83
left 4 dead 2,83
assassin's creed ii,92
star wars: the force unleashed ii,79
loom,79
phantasmagoria,69
phantasmagoria 2: a puzzle of flesh,60
world of warcraft: cataclysm,92
half-life 2,83
starcraft ii: wings of liberty,85
half-life 2: episode two,83
the chronicles of riddick: escape from butcher bay,79
the sims 3,85
patrician iii: rise of the hanse,69
counter-strike: source,83
doom ii: hell on earth,83
the 7th guest,60
half-life 2: episode one,83
battlefield: bad company 2,83
quake iii arena,83
metal gear 2: solid snake,80
metal gear solid: peace walker,80
final fantasy,70
final fantasy ii,69
final fantasy xiii,79
final fantasy: 20th anniversary edition,60
final fantasy crystal chronicles: the crystal bearers,92
final fantasy: mystic quest,69
final fantasy ix,77
final fantasy viii,92
the chronicles of riddick: assault on dark athena,69
red dead redemption,83
rome: total war,79
napoleon: total war,79
"warhammer 40,000: dawn of war ii - chaos rising",70
silent hill: shattered memories,80
kane & lynch 2: dog days,79
castlevania: lords of shadow,77
heavy rain,87
metro 2033,92
dead rising 2,77
borderlands,83
god of war iii,32
batman: arkham asylum,77
fifa 11,79
fable iii,79
call of duty: black ops,83
god of war: ghost of sparta,80
spider-man: shattered dimensions,79
transformers: war for cybertron,69
medal of honor,79
prison break: the conspiracy,69
just cause 2,83
aliens vs. predator,79
tom clancy's splinter cell: conviction,77
singularity,79
eat lead: the return of matt hazard,60
age of wonders,69
age of wonders ii: the wizard's throne,69
age of wonders: shadow magic,69
arma 2: operation arrowhead,60
battlefield: bad company 2 vietnam,70
bejeweled 2,70
command & conquer 4: tiberian twilight,69
football manager 2011,70
grand theft auto iii,83
grand theft auto: san andreas,83
king's quest iv: the perils of rosella,70
interstate '76,70
heroes of newerth,80
lara croft and the guardian of light,70
mass effect 2: lair of the shadow broker,79
mass effect 2: overlord,79
outcast,60
painkiller,79
prince of persia: the sands of time,85
prince of persia: warrior within,92
rayman 2: the great escape,79
king's quest ii: romancing the throne,70
sam & max: beyond time and space,69
sid meier's civilization v,80
sid meier's pirates!,79
street fighter iv,79
super meat boy,83
team fortress 2,83
king's quest: quest for the crown,70
tomb raider,83
tony hawk's pro skater 2,79
world of goo,79
nhl 11,70
resident evil zero,70
tom clancy's h.a.w.x 2,70
halo: reach,83
silent hunter 5: battle of the atlantic,70
army of two: the 40th day,69
oddworld: abe's oddysee,79
oddworld: abe's exoddus,70
oddworld: munch's oddysee,92
oddworld: stranger's wrath,69
apb reloaded,69
worms: reloaded,69
hacker evolution,69
hacker evolution: untold,70
mirror's edge,96
alan wake,83
super mario galaxy 2,83
donkey kong country returns,92
metroid: other m,92
castlevania: rondo of blood,69
castlevania: the adventure rebirth,60
castlevania: harmony of despair,70
golden sun: dark dawn,32
lufia: curse of the sinistrals,60
tales of graces,69
kingdom hearts birth by sleep,79
kingdom hearts re:coded,60
darksiders,77
deadly premonition,79
plants vs. zombies,79
limbo,83
wild guns,70
enclave,79
ghost trick: phantom detective,70
noby noby boy,70
sniper: ghost warrior,79
f1 2010,70
r.u.s.e.,70
dead or alive paradise,60
professor layton and the unwound future,80
phoenix wright: ace attorney,83
phoenix wright: ace attorney − justice for all,80
phoenix wright: ace attorney − trials and tribulations,80
ace attorney investigations: miles edgeworth,70
fire emblem: new mystery of the emblem,70
perfect dark,70
sin & punishment: star successor,69
gradius ii: gofer no yabou,60
front mission 3,70
front mission evolved,69
epic mickey,92
pokémon soulsilver,80
pokémon black,80
pokémon white,80
trauma team,70
virtua fighter 2,70
pokémon heartgold,79
kasumi: stolen memory,60
gran turismo 5,79
goldeneye 007,70
james bond 007: blood stone,70
final fight 3,69
donpachi,70
dodonpachi resurrection,60
fruit ninja,70
warioware d.i.y.,70
mega man 4,70
mega man 9,70
mega man 10,70
mega man x3,70
sly cooper and the thievius raccoonus,79
sly 2: band of thieves,79
sly 3: honor among thieves,79
crazy taxi,79
dragon quest vi: realms of revelation,70
dragon quest ix: sentinels of the starry skies,32
toribash,60
might & magic: clash of heroes,70
lost planet 2,70
faxanadu,69
bejeweled 3,79
vvvvvv,79
arsenal of democracy,60
commander: conquest of the americas,69
mount & blade: warband,83
elven legacy,60
angry birds,79
the kings crusade,70
lead and gold: gangs of the wild west,69
yakuza 3,80
yakuza 4,80
woody two-legs: attack of the zombie pirates,69
dead nation,69
bayonetta,85
trials hd,70
split/second,79
cities xl 2011,70
race driver: grid,79
red steel 2,60
kirby's epic yarn,70
centipede,55
king's quest v: absence makes the heart go yonder!,60
deathspank,69
deathspank: thongs of virtue,70
gothic,82
wwe smackdown vs. raw 2011,69
sonic colors,70
monster hunter tri,60
no more heroes 2: desperate struggle,80
tatsunoko vs. capcom: ultimate all stars,60
toki tori,70
mario party 2,80
super mario kart,80
bob came in pieces,70
artemis - spaceship bridge simulator,69
xenoblade chronicles,92
blaster master,70
rise of the triad: dark war,69
akalabeth: world of doom,69
prince of persia: the two thrones,92
prince of persia: the forgotten sands,79
torchlight,79
enslaved: odyssey to the west,79
alpha protocol,79
dragon ball z: tenkaichi tag team,60
skate 3,79
tropico 3,70
altered beast,79
bloody good time,60
shinobi iii: return of the ninja master,69
naughty bear,70
dig dug,70
kinect adventures,80
motionsports: play for real,60
dead space 2,92
deus ex: human revolution,92
portal 2,83
dragon age: origins,85
dragon age ii,92
l.a. noire,85
devil may cry 4,77
star wars: the old republic,89
mortal kombat,79
minecraft,86
mdk2,79
cossacks: european wars,80
crysis,83
dungeon siege,79
american mcgee's alice,79
battlefield 3,83
battlefield play4free,60
quake 4,79
might & magic: heroes vi,80
final fantasy type-0,60
final fantasy xiii-2,77
final fantasy iii,79
final fantasy tactics: the war of the lions,79
final fantasy legend iii,69
final fantasy v,79
final fantasy vi,80
total war: shogun 2,79
operation flashpoint: red river,69
"warhammer 40,000: dawn of war ii - retribution",79
crysis 2,83
the elder scrolls v: skyrim,87
the witcher 2: assassins of kings,85
rift,69
duke nukem forever,92
gears of war 3,79
bulletstorm,83
batman: arkham city,77
brink,69
hunted: the demon's forge,54
sonic generations,79
trackmania 2: canyon,60
rage,92
powerup heroes,60
uncharted 3: drake's deception,92
f.e.a.r. 3,79
infamous 2,92
dirt 3,79
need for speed: the run,69
serious sam 3: bfe,69
red faction: armageddon,79
ace combat: assault horizon,55
hard reset,60
the legend of zelda: skyward sword,77
dead island,92
assassin's creed: revelations,87
disney universe,70
lego pirates of the caribbean,79
call of juarez: the cartel,79
god of war: chains of olympus,80
driver: san francisco,79
dc universe online,79
"warhammer 40,000: space marine",70
abuse,60
american conquest,60
beneath a steel sky,70
call of duty 4: modern warfare,83
crusader: no regret,69
death rally,70
grand theft auto: vice city,83
majesty: the fantasy kingdom sim,70
realms of the haunting,70
saints row: the third,83
tom clancy's splinter cell: chaos theory,77
worms armageddon,79
nhl 12,70
resident evil: the mercenaries 3d,60
call of duty: modern warfare 3,83
rayman origins,77
heavy fire: afghanistan,70
dead space: extraction,60
uncharted: golden abyss,80
hector: badge of carnage!,60
cities in motion,69
marble arena 2,69
the legend of zelda,80
the legend of zelda: link's awakening dx,80
the legend of zelda: the minish cap,77
the legend of zelda: ocarina of time 3d,96
alice: madness returns,55
the lord of the rings: war in the north,79
red orchestra 2: heroes of stalingrad,69
kirby's dream land,69
super mario land,79
super mario land 2: 6 golden coins,79
wario land: super mario land 3,79
super mario 3d land,82
donkey kong,69
metroid ii: return of samus,70
men of war: assault squad,70
tomb raider ii,79
tomb raider iii: adventures of lara croft,79
tomb raider: the last revelation,79
tomb raider: chronicles,79
tomb raider: legend,79
tomb raider: anniversary,79
tomb raider: underworld,79
world of tanks,79
tales of the abyss,70
tales of xillia,54
tekken tag tournament 2,79
tekken,79
tekken tag tournament,79
tom clancy's ghost recon: shadow wars,80
psychonauts,80
xenogears,79
f1 2011,69
payday: the heist,79
dead or alive: dimensions,60
professor layton and the diabolical box,79
professor layton and the last specter,70
professor layton and the miracle mask,80
fire emblem: the sacred stones,80
skylanders: spyro's adventure,70
goldeneye 007: reloaded,69
streets of rage,79
streets of rage 2,80
otomedius excellent,70
wario land 4,70
mega man,79
mega man 5,70
mega man: dr. wily's revenge,70
mega man x,79
mega man x2,79
mega man x4,70
ratchet & clank: all 4 one,60
chrono trigger,77
chrono cross,70
painkiller: redemption,60
ni no kuni: wrath of the white witch,79
killzone 3,79
defender of the crown,70
terraria,83
homefront,79
zork nemesis: the forbidden lands,80
bastion,80
darkest hour: a hearts of iron game,69
magicka,79
ultimate marvel vs. capcom 3,79
pirates of black cove,69
pride of nations,70
the binding of isaac,83
renegade ops,69
littlebigplanet 2,80
catherine,92
dark souls,77
rabbids go home,69
vagrant story,79
frozen synapse,69
the baconing,70
monster hunter 3 ultimate,69
rock of ages,70
mario kart: super circuit,79
mario kart 7,80
bloodline champions,69
orcs must die!,69
battle for wesnoth,70
puzzle quest: challenge of the warlords,69
temple run,70
motorstorm: apocalypse,60
dragon ball kai: ultimate butouden,60
dragon ball z: ultimate tenkaichi,70
tropico 4,79
bloodrayne: betrayal,70
halo: combat evolved anniversary,79
mario & sonic at the london 2012 olympic games,60
mappy,70
balloon fight,69
pac-man,79
ben 10: galactic racing,70
scooby-doo! first frights,70
ultima iv: quest of the avatar,69
fifa 12,80
anno 2070,80
lineage 2,80
space pirates and zombies,69
machinarium,83
superbrothers: sword & sworcery ep,79
dlc quest,69
rugby challenge,70
unepic,69
battlefield 3: back to karkand,69
thief ii: the metal age,79
baldur's gate,80
max payne,83
max payne 2: the fall of max payne,83
dungeon keeper,79
deus ex,92
mass effect,77
mass effect 3,86
the witcher,80
star wars: knights of the old republic,85
star wars: knights of the old republic ii - the sith lords,85
diablo iii,85
devil may cry,79
devil may cry 2,80
star wars: jedi knight ii - jedi outcast,83
myst,83
stonekeep,69
wolfenstein 3d,79
sacred,79
super mario bros.,83
final fantasy iv,69
simon the sorcerer,69
silent hill: downpour,80
resident evil: the darkside chronicles,69
i am alive,69
phantasy star online 2,69
